,sku,name,desc,promo_price,in_stock,type,max_price,price
81,DLK0011,D-Link DUB-1340 Hub 4 x SuperSpeed ​​USB 3.0 Mac and PC,Dlink USB Hub Mac and PC 4 port.,469.891,0,12995397,49.99,49.99
82,DLK0012,D-Link DUB-H7 Hub 7 x Hi-Speed ​​USB Mac and PC,Dlink USB Hub Mac and PC 7 ports.,269.899,0,12995397,28.99,28.99
83,WDT0140,"Red 2TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 2TB (WD20EFRX).,805.945,1,12655397,93.99,93.99
84,WDT0141,"WD Red 3TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 3TB (WD30EFRX).,1.019.933,1,12655397,124.99,124.99
85,WDT0183,"Red 4TB WD 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 4TB (WD40EFRX).,1.259.937,1,12655397,164.99,164.99
86,WDT0249,"WD Red 6TB 35 ""Mac PC hard drive and NAS",Western Digital hard drive designed for NAS 6TB (WD60EFRX).,1.899.942,1,12655397,252.99,252.99
87,WDT0318,"WD Red 8TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 8TB 35 inch SATA 6 Gb / s for small businesses and home.,2.399.938,1,12655397,359.99,359.99
88,WDT0395,"WD Red 10TB 35 ""Mac PC hard drive and NAS",Western Digital Hard Drive 10TB 35-inch SATA 6 Gb / s for small businesses and home.,3.399.943,1,12655397,376.58,376.58
89,WAC0030,Wacom Cintiq 22HD Interactive Pen Display Mac and PC,LCD graphic display with 215-inch Full HD and pencil precision for Mac and PC,15.120.039,0,1405,1799.99,1799.99
90,NTE0044,"NewerTech windy 225 ""for iMac",Suction cup 225 inches for aluminum iMac.,119.899,1,14305406,12.99,12.99
91,OWC0020,Envoy OWC USB 3.0 Case for MacBook Air SSD 2010/2011,Box Portable External USB 2.0 / 3.0 for MacBook Air SSD.,41.987,1,11935397,41.99,41.99
92,NTE0012,NewerTech universal adapter IDE / SATA to USB 3.0,High speed universal adapter HDD / SSD to USB 3.0.,328.999,1,1325,32.9,32.9
93,NTE0013,"AdaptaDrive NewerTech adapter 2.5 ""to 3.5"" SATA",Adapter HDD / SSD 2.5 SATA 3.5 compatible with Mac Pro.,199.904,1,12755395,23.99,23.99
94,NTE0014,NewerTech eSATA to USB 3.0 Adapter,High-speed eSATA adapter to USB 3.0.,259.896,0,1325,25.99,25.99
95,OWC0024,OWC Mount Adapter 25-35 Pro Mac Pro (2009-2012),SSD hard drive adapter or 2.5 for Mac Pro.,259.896,1,12755395,25.99,25.99
96,NTE0015,NewerTech NuStand Support Mac Mini Silver Alloy,Elegant support for MacMini 2010 and later,199.904,0,8696,19.99,19.99
97,NTE0017,"NewerTech NuPower Battery MacBook 13 ""white",133 inch MacBook battery (White Model).,899.901,1,10142,94.99,94.99
98,NTE0018,"NewerTech NuPower Battery MacBook 13 ""Black",133 inch MacBook battery (Black Model).,899.901,1,10142,94.99,94.99
99,NTE0020,"NewerTech NuPower battery MacBook Pro 15 ""(Late 2008 - Early 2009)",Battery MacBook Pro 15-inch Unibody late 2008 and early 2009,949.898,1,10142,94.99,94.99
100,NTE0021,"NewerTech NuPower Battery MacBook 13 ""Aluminum",battery MacBook 13-inch (Aluminum Model).,999.896,1,10142,99.99,99.99
101,OWC0028,"OWC SSD installation Kit for iMac 215 ""(2011)",Installation kit for iMac SSD 215 inches (2011).,399.905,1,14305406,39.99,39.99
102,OWC0013,OWC Kit of 5 tools for Mac and PC,Kit of 5 tools for repair / extension Mac.,29.899,1,14305406,4.99,4.99
103,OWC0026,"Installation Kit OWC SSD Hard Drive 25 ""Mac mini 2011/2012",Installation Kit HDD or SSD for Mac mini 2011 Late 2012 Mid tools,399.905,1,14305406,39.99,39.99
104,OWC0027,"OWC SSD installation kit for iMac 27 ""2011",SSD installation on iMac 27-inch Mid 2011 Kit,429.901,1,14305406,42.99,42.99
105,OWC0029,"OWC SSD installation Kit for iMac 27 ""(2010)",Installation Kit SSD iMac 27-inch (model 2010).,399.893,1,14305406,42.99,42.99
106,NTE0010,NewerTech iPhone Kit tools,7 Kit tools needed for iPhone 4 / 4S,109.904,1,12645406,10.99,10.99
107,APP0410,Apple Thunderbolt to FireWire 800 adapter,Adapter Thunderbolt to Firewire 800 connection.,330.003,1,1325,35,35
108,STM0038,"STM Bags Small Alley Backpack MacBook Pro 13 ""black coal",Slingbag MacBook Pro 13-inch.,299.899,1,10230,29.99,29.99
109,NTE0022,"NewerTech NuPower battery MacBook Pro 17 ""(2006-2008)",MacBook Pro 17 inch battery.,1.099.902,0,10142,109.99,109.99
110,OWC0025,"SSD expansion kit OWC Aura Pro 6G 240GB MacBook Air 11 ""and 13"" 2012",SSD 240GB expansion for MacBook Air 11-inch and 13-inch 2012 Kit tools,1.995.835,1,12215397,199.58,199.58
111,NTE0023,NewerTech eSATA Cable Adapter Mac Pro,Add 2 eSATA ports with the adapter cable for Mac Pro.,73.895,1,12755395,7.99,7.99
112,OWC0009,OWC Case External SuperSlim for SuperDrive MacBook / MacBook Pro,Black External Case for Apple SuperDrive.,204.889,1,11935397,33.24,33.24
113,OWC0039,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""FW800 / FW400 / USB3",outer case 25 inch SATA connection FW800 / FW400 / USB 3.0.,69.99,1,11935397,75.99,75.99
114,OWC0040,"OWC Mercury On-The-Go Pro Mini transparent box 25 ""USB3 / USB2",outer case 25 inch SATA USB 3.0 and 2.0.,329.894,1,11935397,32.99,32.99
115,OWC0228,OWC Tools MacBook Air 2010 and MacBook Pro Retina back and Torx5 & Torx Plus pentalobe,2 Kit tools for repair / expansion MacBook Air 2010 and MacBook Pro Retina and posterior (all models),159.889,0,14305406,19.99,19.99
116,OWC0015,"OWC Aura expansion kit 6G SSD 120GB MacBook Air 11 ""and 13"" 2010 to 2011",120GB SSD expansion for MacBook Air 11-inch and 13-inch Late 2010 to Mid 2011 Kit tools,1.315.839,1,12215397,131.58,131.58
117,MUV0042,Clear Back Case Muvit iPhone / 5s / 5 transparent,iPhone back cover tranparente SE / 5s / 5.,89.903,0,11865403,8.99,8.99
118,APP0434,Apple 5W USB power adapter iPhone and iPod,USB Power Adapter 5W 1A for iPhone iPod and Apple Watch.,240.004,1,14365395,25,25
119,APP0435,Apple Lightning to 30-pin adapter iPhone 5 / 5S iPad mini and iPod,Lightning connector adapter 30-pin iPhone 5 / 5S and 5G iPod Touch Nano 7G (02m).,409.996,0,14365395,45,45
120,APP0436,Apple Lightning adapter to 30-pin connector,Lightning adapter connector 30-pin iPhone 5 iPod Touch 5 iPod Nano 7.,330.003,0,14365395,35,35
121,APP0437,Apple EarPods headset with microphone connector Jack iPad and iPod,IPhone iPad and iPod headphones with microphone and remote.,330.003,1,5384,35,35
122,APP0438,Apple Lightning connector cable to USB 1m White,Lightning USB cable 1 meter to charge and sync iPhone iPad and iPod.,229.997,1,1230,25,25
123,REP0036,Full screen repair iPhone 4,Repair service including parts and labor for iPhone 4,499.899,0,"1,44E+11",49.99,49.99
124,REP0041,battery repair iPhone 4,Repair service including parts and labor for iPhone 4,29.99,0,"1,44E+11",39.99,39.99
125,REP0050,Headset calls iPhone 4 Repair,Repair service including parts and labor for iPhone 4,399.893,0,"1,44E+11",39.99,39.99
126,OWC0041,Mac OWC Memory 4GB DDR3 1066MHZ SO-DIMM,4GB RAM Mac mini iMac MacBook and MacBook Pro (2008/10).,439.896,1,1364,45.99,45.99
127,OWC0042,Mac OWC Memory 4GB DDR3 1333MHZ SO-DIMM,4GB RAM Mac mini iMac (2010/11) and MacBook Pro (2010/11).,469.891,1,1364,46.99,46.99
128,OWC0043,Mac OWC Memory 8GB 1333MHZ DDR3 SO-DIMM,8GB RAM Mac mini iMac (2010/11) and MacBook Pro (2010/11).,999.896,0,1364,99.99,99.99
129,OWC0035-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1066MHZ,RAM 8GB (2x4GB) Mac mini iMac MacBook and MacBook Pro (2008/10).,869.905,1,1364,90.99,90.99
130,OWC0036-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1333MHZ,RAM 8GB (2x4GB) Mac mini (2011) iMac (2010-2011) MacBook Pro (2011).,929.897,1,1364,92.99,92.99
131,REP0060,iPhone 4s battery repair,It is including parts and labor for iPhone 4s,29.99,0,"1,44E+11",39.99,39.99
132,REP0068,Headset calls iPhone 4s repair,Repair service including parts and labor for iPhone 4s,399.893,0,"1,44E+11",49.9,49.9
133,SYN0063,Synology DX513 expansion NAS Mac and PC,Expansion unit 5 bays.,4.239.005,0,12175397,423.9,423.9
134,REP0073,Repair Touch Screen iPad (1st generation),Repair service including parts and labor for iPad,999.896,0,"1,44E+11",99.99,99.99
135,REP0074,LCD screen repair iPad (1st generation),Repair service including parts and labor for iPad,1.149.899,0,"1,44E+11",115.99,115.99
136,REP0080,repair battery cases (1st generation),Battery Repair Service includes parts and labor for iPad,699.899,0,"1,44E+11",84,84
137,REP0081,Connector repair charge cases (1st generation),Repair service including parts and labor for iPad,79.99,0,"1,44E+11",79.9,79.9
138,REP0084,iPad 2 LCD screen repair,Repair service including parts and labor for iPad 2,1.299.899,0,"1,44E+11",129.99,129.99
139,REP0091,Wi-Fi antenna repair Apple iPad 2,Repair service including parts and labor for iPad 2,689.942,0,"1,44E+11",68.99,68.99
140,REP0092,Repair Speaker lower iPad 2,Repair service including parts and labor for iPad 2,689.942,0,"1,44E+11",68.99,68.99
141,REP0093,iPad 2 battery repair,Repair service including parts and labor for iPad 2,699.899,0,"1,44E+11",119,119
142,REP0098,volume button repair on vibration control and flexo iPad 3,Repair Service includes parts and labor iPad 3,699.899,0,"1,44E+11",79,79
143,DLK0018,D-Link DES-1005D Switch 5 10 / 100Mbps,Dlink Switch 5 Mac and PC ports.,109.904,0,1334,11.99,11.99
144,DLK0019,D-Link DES-1008D Switch 8 10 / 100Mbps unmanaged,Dlink Switch 8 Mac and PC ports.,119.899,0,1334,14.99,14.99
145,DLK0020,D-Link DES-1024D Switch 24 10 / 100Mbps,Switch Dlink 24 ports Rack Mac and PC format.,419.894,1,1334,48.99,48.99
146,PAC0272,OWC Mercury On-The-Go Pro Mini 1TB Hard Drive Mac and PC,Pack outer case 25 inch connections FW800 / FW400 / USB3 + HDD 1TB.,1.225.851,1,11935397,132.58,132.58
147,PAC0271,OWC Mercury On-The-Go Pro Mini Hard Drive 1TB Mac and PC,Pack outer box 25 inches + 1TB Hard Drive USB 3.0.,855.845,1,11935397,87.58,87.58
148,KIN0074,Kingston DataTraveler SE9 8GB USB 2.0 key,8GB USB 2.0 key minimalist design.,57.802,0,57445397,5.49,5.49
149,KIN0072,Kingston DataTraveler SE9 16GB USB 2.0 key,16GB USB 2.0 key minimalist design.,62.799,0,57445397,5.99,5.99
150,KIN0073,Kingston DataTraveler SE9 32GB USB 2.0 key,32GB USB 2.0 key minimalist design.,142.792,0,57445397,13.99,13.99
151,REP0111,Full screen repair iPhone 4S,Repair service including parts and labor for iPhone 4s,499.899,0,"1,44E+11",49.99,49.99
152,MOS0078,Moshi iGlaze iPhone Case SE / 5s / 5 Black,rigid shell with silver rim iPhone SE / 5s / 5,209.899,1,11865403,20.99,20.99
153,MOS0080,Moshi iGlaze iPhone Case SE / 5s / 5 white,hard case for iPhone SE / 5s / 5,199.892,0,11865403,19.99,19.99
154,MOS0082,Moshi iGlaze XT iPhone Case SE / 5s / 5 transparent,Rigid shell snap on iPhone SE / 5s / 5.,199.904,1,11865403,19.99,19.99
155,APP0483,Apple Lightning to VGA Adapter,Lightning connector adapter to VGA.,550.006,0,1230,59,59
156,GRT0264,Griffin CinemaSeat Case for iPad mini / black Retina,IPad mini car cover neoprene support.,189.897,0,12635403,29.9,29.9
157,GRT0265,Griffin Survivor Case iPad mini 1/2/3 Black,IPad mini sleeve ultra-resistant for extreme conditions.,35.989,0,12635403,35.99,35.99
158,APP0464,Apple adapter 12 W USB iPhone iPod and iPad,USB Power Adapter 12 W for iPhone iPad and iPod.,240.004,1,5395,25,25
159,APP0474,"Apple 60W MagSafe 2 charger MacBook Pro Retina Display 13 """,MagSafe charger 2 of 60 W (MD565Z / A).,850.001,0,13005399,89,89
160,APP0481,Apple Lightning to USB adapter for cameras,Lightning connector adapter USB camera (MD821ZM / A).,330.003,0,5395,35,35
161,APP0482,Adapter Apple Lightning to SD Card Reader,Lightning connector adapter to SD card reader (MD822ZM / A).,330.003,0,5395,35,35
162,APP0484,Apple Digital AV Adapter to Lightning,Lightning adapter connector to digital AV (MD826ZM / A).,550.006,1,5395,59,59
163,OWC0045,Mac OWC Memory 4GB DDR3 1600MHZ SO-DIMM,4GB RAM MacBook Pro and Mac mini iMac (2012).,44.989,1,1364,45.99,45.99
164,OWC0039-2,Mac memory OWC 8GB (2x4GB) SO-DIMM DDR3 1600MHZ,RAM 8GB (2x4GB) MacBook Pro iMac Mac mini (2012) and iMac 5K Retina 27-inch (2014).,87.99,1,1364,92.99,92.99
165,NTE0025,NewerTech Voyager Q HDD Dock FW800 / 400 / USB3.0 / eSATA,Dock disc 25 inch and 35 inch FW800 / 400 / USB3.0 / eSATA.,626.901,0,12995397,79.99,79.99
166,NTE0026,NewerTech Voyager S3 Dock HDD USB3.0 / Sata,Dock disc 25 inches and 35 inches with USB3.0 / eSATA.,399.905,1,12995397,39.99,39.99
167,BEZ0157,"Be.ez LArobe Case for MacBook Pro Retina 15 ""gray / red",Retina MacBook Pro sleeve 15 inch polyurethane.,199.892,0,13835403,28.99,28.99
168,BEZ0158,"Be.ez LArobe Case for MacBook Pro Retina 15 ""gray / blue",Retina MacBook Pro sleeve 15 inch polyurethane.,289.916,0,13835403,28.99,28.99
169,OTR0062,StarTech USB adapter mini Bluetooth 2.1,Mini Bluetooth USB for Mac and PC wireless network.,249.865,0,1334,24.99,24.99
170,BEZ0159,"Be.ez LArobe Case for MacBook Pro Retina 15 ""gray / black",Retina MacBook Pro sleeve 15 inch polyurethane.,289.916,0,13835403,28.99,28.99
171,OWC0054,"OWC SSD installation Kit for iMac 27 ""(2010) without tools",SSD installation kit without tools iMac 27-inch (model 2010),199.892,0,12755395,19.99,19.99
172,OWC0052,"OWC SSD installation Kit for iMac 27 ""(2011) without tools",SSD installation kit without tools iMac 27-inch (model 2011).,199.892,1,12755395,20.99,20.99
173,OTR0039,Startech Splitter Adapter 2 headphones,headphone jack adapter 2 Mini-3-pin mini-jack to 4 pin.,79.896,1,1230,7.99,7.99
174,SPE0072,"Speck SeeThru Case Macbook Air 13 ""Blue",Housings MacBook Air 13 inches.,399.905,0,13835403,39.99,39.99
175,NTE0027,NewerTech Mini DVI to DVI Adapter,Adapter mini DVI to DVI.,109.904,0,1325,11.99,11.99
176,NTE0028,NewerTech Mini DVI to VGA Adapter,Mini DVI to VGA.,129.906,1,1325,12.99,12.99
177,NTE0029,NewerTech Mini DVI to HDMI Adapter,Mini DVI to HDMI.,159.902,0,1325,15.99,15.99
178,NTE0030,NewerTech Mini DisplayPort to VGA Adapter,Adapter Mini Display Port to VGA.,22.99,0,1325,22.99,22.99
179,NTE0031,NewerTech Adapter Mini Display Port to DVI,Adapter mini Display Port to DVI.,149.895,0,1325,14.99,14.99
180,NTE0032,NewerTech MiniDisplay Port to HDMI Adapter,Adapter mini Display Port to HDMI.,149.895,1,1325,18.14,18.14
181,NTE0034,NewerTech NuTouch Gloves Gloves iPhone iPad and iPod Gray (Size S),Small size gloves for iPhone iPad and iPod.,149.895,1,11905404,16.99,16.99
